ad_url;price;size_room;size_wg;area;street_address;full_address;lat_lng
"<a href=""/wg-zimmer-in-Berlin-Wedding.7610464.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/39/8883a334774a89af2c1dbe09840cd951ca131c51e8cb8253eaa592a1e7879b55_IMG_5442.small.JPG);""></a>";450;15.0;2;Wedding;Wollankstrasse5;Wollankstrasse5 Wedding Berlin;(52.5682984, 13.3987168)
"<a href=""/wg-zimmer-in-Berlin-Kreuzkoelln.8398470.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/1e226894873566069bf24af785f3af16986a7afecc7de0ff0dab45c672297f13_4828b15c_a0e9_42d8_bf00_1ffdc9d38098.small.jpg);""></a>";540;19.0;3;Kreuzkoelln;KottbussderDamm;KottbussderDamm Kreuzkoelln Berlin;(52.49900479999999, 13.4183201)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.6327605.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2017/36/bbfc04df9309642a763b47f74af7191f12646107c0be9cc07f4ab035b4e9754d_1504672587828.small.JPEG);""></a>";510;28.0;3;Friedrichshain-Kreuzberg;SchlesischeStrasse37;SchlesischeStrasse37 Friedrichshain-Kreuzberg Berlin;(52.4998003, 13.4448946)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg.8104944.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/27/64e9794c19c2e358c976ca66c01d15d3e3249140a259e0f484f78af4875dec93_Room_4.small.jpg);""></a>";550;11.0;4;Charlottenburg;Joachim-Friedrich-Strasse9;Joachim-Friedrich-Strasse9 Charlottenburg Berlin;(52.49531, 13.29629)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8397631.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/2721ba80778f6c6cc43bb8926961fe39868357a676c7b77ef4fef9d8e8fed193_IMG_20200610_095428.small.jpg);""></a>";470;18.0;2;Kreuzberg;Baerwaldstrasse47;Baerwaldstrasse47 Kreuzberg Berlin;(52.49099140000001, 13.4011597)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8143323.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/78f533df46e5234606fd0ed5a74b1ea5d8a996f1f840feb709a581a9eb1f9f28_20201128_111226.small.jpg);""></a>";550;20.0;2;Neukoelln;Elsenstr104;Elsenstr104 Neukoelln Berlin;(52.4894012, 13.4548858)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.8332689.html"" style=""background-image: url(https://www.wg-gesucht.de/img/placeholder/dummy_small.png);""></a>";400;15.0;3;Friedrichshain;Rotherstrasse1a;Rotherstrasse1a Friedrichshain Berlin;(52.50313689999999, 13.4542842)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.8130809.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/29/d9eb5e3b917a299f0d130560910976db15fd4cb0dcb13639ec1dc295d332d828__Room2.small.jpg);""></a>";700;19.0;3;Friedrichshain;Marchlewskistrasse51;Marchlewskistrasse51 Friedrichshain Berlin;(52.51317, 13.44539)
"<a href=""/wg-zimmer-in-Berlin-Wedding.8336255.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/42/6dd7341f0a3df1d158d54f07d57b044faa44f8593a7aeb6e5aa1689de55606c9_Bedroom1_i.small.jpg);""></a>";750;21.0;2;Wedding;Buttmannstrasse11;Buttmannstrasse11 Wedding Berlin;(None, None)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8323354.html"" style=""background-image: url(https://www.wg-gesucht.de/img/placeholder/dummy_small.png);""></a>";450;10.0;2;Kreuzberg;BerlinKreuzberg,Dennewit...;BerlinKreuzberg,Dennewit... Kreuzberg Berlin;(52.49638470000001, 13.3653974)
